,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
646,2019-08-23,2330,14772877,3748071178,253.5,254.5,253.0,254.0,0.0,5663
647,2019-08-26,2330,31740620,7910873500,249.0,250.5,248.5,248.5,-5.5,13388
648,2019-08-27,2330,53664951,13410582151,250.5,251.0,248.5,250.0,1.5,8939
649,2019-08-28,2330,15280882,3852096070,250.5,253.0,250.5,252.0,2.0,6829
650,2019-08-29,2330,20085767,5078703588,253.0,254.0,251.0,254.0,2.0,6596
651,2019-08-30,2330,35299201,9092482858,256.5,259.0,256.0,259.0,5.0,13703
652,2019-09-02,2330,14776854,3800453292,258.0,258.0,256.0,257.5,-1.5,7608
653,2019-09-03,2330,26086495,6642868555,256.5,258.0,253.0,254.0,-3.5,11210
654,2019-09-04,2330,23697733,6081456520,254.0,258.0,254.0,257.5,3.5,9291
655,2019-09-05,2330,49041728,12869665251,263.0,263.0,260.5,263.0,5.5,22796
656,2019-09-06,2330,26609515,7016868801,265.0,265.0,263.0,263.5,0.5,11957
657,2019-09-09,2330,17317833,4585545966,265.5,266.0,263.5,265.0,1.5,8762
658,2019-09-10,2330,30019866,7862297242,263.5,264.0,260.5,261.5,-3.5,11831
659,2019-09-11,2330,36266015,9508884445,264.0,264.5,260.5,263.0,1.5,12058
660,2019-09-12,2330,38792293,10198483555,265.0,265.0,261.5,262.5,-0.5,8282
661,2019-09-16,2330,38913966,10258240252,262.0,265.5,261.5,265.5,3.0,11120
662,2019-09-17,2330,30069844,7979032930,266.5,266.5,264.5,265.0,-0.5,9222
663,2019-09-18,2330,51360759,13754334364,267.0,269.5,266.5,267.0,2.0,17993
664,2019-09-19,2330,27165567,7216457755,268.0,268.0,264.0,265.0,0.0,10194
665,2019-09-20,2330,44555865,11785924559,266.0,266.5,264.0,264.0,-1.0,9109
666,2019-09-23,2330,14220208,3749146092,264.0,264.0,263.0,264.0,0.0,5647
667,2019-09-24,2330,24304943,6419420695,263.5,265.5,262.0,265.0,1.0,9180
668,2019-09-25,2330,23244163,6144037875,262.5,266.0,262.0,266.0,1.0,7145
669,2019-09-26,2330,34128103,9139219995,269.0,269.5,266.5,268.0,2.0,11861
670,2019-09-27,2330,44242817,12021629536,271.5,272.5,271.0,272.0,4.0,16626
